rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
76,815,koalanoob#mikuu,299.2,188.3,1.46,27.4,59.1,Chamber,54.0,57.0,301.8,Jett,27.0,67.3,302.4,Brimstone,9.8,55.6,272.1,Vandal,"2,110",39,Operator,801,8,Ghost,340,45
77,815,NRG FNS#daddy,207.9,138.4,0.97,23.0,58.4,Viper,67.0,49.6,207.3,Killjoy,44.0,71.6,222.1,Sage,19.0,63.6,184.7,Vandal,"1,821",35,Phantom,"1,103",32,Spectre,508,26
78,813,Masaru#SKYE,180.4,113.6,0.92,18.4,51.6,Skye,189.0,50.8,178.7,Yoru,28.0,60.0,197.5,Chamber,4.8,25.0,176.7,Vandal,"1,862",32,Operator,"1,282",7,Phantom,516,32
79,811,voriac#joon,222.7,144.1,1.08,20.3,51.8,Brimstone,16.0,60.7,225.0,Chamber,11.0,45.0,223.5,Astra,8.0,38.5,218.6,Vandal,"1,230",30,Phantom,299,31,Odin,171,19
80,807,zinc#ncie,196.9,130.1,1.01,33.9,50.0,Cypher,18.0,57.6,199.1,KAY/O,17.0,40.0,185.8,Fade,15.0,63.0,200.6,Vandal,"1,761",47,Phantom,499,41,Ghost,248,55
81,799,Harmful#Rossy,268.4,170.6,1.33,34.9,57.3,Chamber,27.0,50.0,262.5,Jett,15.0,69.0,294.7,Reyna,3.2,66.7,236.6,Vandal,686,52,Operator,389,7,Sheriff,95,59
82,799,Velocity#Smile,225.6,149.4,1.05,28.4,53.8,Jett,30.0,58.2,231.4,Chamber,27.0,50.9,212.5,Reyna,17.0,53.1,246.7,Vandal,"2,282",43,Phantom,583,37,Sheriff,325,53
83,796,yzal#0000,254.2,165.7,1.2,29.1,59.4,Jett,89.0,60.0,264.3,Chamber,32.0,54.4,233.6,Reyna,9.8,68.8,257.0,Vandal,"2,923",41,Operator,584,10,Sheriff,436,44
84,793,AI jangler#kai,214.5,141.1,1.13,29.1,51.7,Viper,19.0,48.6,201.3,Omen,18.0,51.5,204.2,Astra,16.0,65.5,229.1,Vandal,"1,731",41,Phantom,247,35,Sheriff,170,60
85,792,tR jeffie#silly,229.8,150.4,1.08,28.4,48.3,Chamber,44.0,50.6,243.1,Raze,7.0,46.2,261.4,Fade,6.9,58.3,198.0,Vandal,852,42,Phantom,599,40,Operator,156,9
86,792,OTF Calc#PRBLM,235.3,156.5,1.05,22.3,54.3,Raze,56.0,59.4,253.8,Jett,17.0,45.2,233.0,Phoenix,15.0,69.2,233.7,Vandal,"1,793",36,Phantom,577,32,Spectre,304,22
87,791,King#027,201.9,134.8,1.05,35.2,51.7,Sova,47.0,54.2,204.5,Fade,17.0,69.0,201.1,Brimstone,10.0,33.3,208.1,Vandal,"1,587",49,Phantom,285,38,Ghost,245,57
88,788,Dani#DDD,222.0,146.8,1.12,26.6,52.5,Sova,31.0,64.9,216.1,Reyna,12.0,42.9,238.1,Raze,12.0,40.9,233.8,Vandal,"1,171",39,Phantom,490,35,Ghost,222,45
89,787,infiltrator#000,234.6,151.2,1.03,33.1,51.1,Chamber,70.0,54.5,239.3,Jett,52.0,48.9,243.3,Fade,14.0,61.5,229.6,Vandal,"4,018",50,Ghost,385,48,Operator,378,8
90,784,subby#beep,198.8,131.0,1.02,22.3,64.2,Fade,36.0,60.6,190.2,Jett,16.0,79.3,214.7,Brimstone,10.0,73.7,191.6,Phantom,671,32,Vandal,664,34,Spectre,107,17
91,783,Relyks#vibin,220.5,144.9,1.1,26.2,52.9,Raze,18.0,62.5,219.0,Jett,15.0,44.4,229.5,Chamber,14.0,54.2,219.8,Vandal,"1,458",37,Spectre,213,24,Ghost,151,46
92,778,khs#LOST,228.3,148.6,1.05,24.1,53.1,Chamber,45.0,50.0,236.4,Sova,29.0,60.7,218.8,Raze,19.0,46.9,247.5,Vandal,"2,293",37,Phantom,504,34,Operator,294,5
93,777,SEN SicK#xDDDD,273.6,177.7,1.36,30.4,56.4,Chamber,17.0,59.4,277.5,Phoenix,5.3,70.0,316.4,Harbor,4.6,62.5,233.5,Phantom,619,39,Vandal,523,43,Spectre,165,36
94,776,stallion#MUNCH,207.7,136.7,1.01,23.2,51.9,Raze,24.0,52.3,222.5,Fade,21.0,42.1,202.8,Jett,17.0,40.6,232.4,Vandal,"1,806",38,Phantom,939,29,Spectre,295,25
95,775,jovahnii#ezlol,221.0,144.7,1.04,29.7,54.8,Fade,24.0,59.1,229.7,Sova,15.0,51.7,211.2,KAY/O,9.1,53.3,214.8,Vandal,"1,331",46,Phantom,342,39,Ghost,122,57
96,775,Warmest Aloha#SKz,242.5,156.8,1.19,23.7,51.3,Reyna,22.0,51.2,274.3,Chamber,15.0,64.0,213.1,Phoenix,14.0,50.0,244.4,Vandal,"1,573",36,Spectre,345,25,Stinger,164,20
97,774,Wicked#Weeb,236.5,153.7,1.04,37.5,50.8,Jett,62.0,47.0,244.9,Chamber,35.0,55.6,237.8,Raze,6.6,50.0,225.3,Vandal,"2,489",51,Ghost,217,57,Operator,203,15
98,772,Clewy#333,210.6,140.0,1.09,27.3,52.1,Chamber,15.0,63.3,229.5,Sova,7.0,72.7,214.5,Viper,4.2,37.5,171.9,Vandal,768,39,Phantom,139,32,Ghost,101,38
99,771,T1 MUNCHKIN#T1WIN,250.3,161.9,1.24,21.9,58.8,Jett,13.0,60.9,304.3,Chamber,11.0,50.0,241.7,Omen,4.3,62.5,220.6,Vandal,798,31,Operator,127,13,Ghost,92,43
100,769,mercy#17yrs,187.8,125.5,0.91,28.2,51.6,Astra,45.0,55.1,194.6,Sova,38.0,43.9,191.4,Brimstone,30.0,57.4,196.9,Vandal,"2,141",43,Phantom,"1,380",38,Spectre,367,31
